x-axis,1,2,3
second,Volt,Volt,Volt
-33.50000E-03,-2.92713E-03,+85.92965019E+00,+11.15577898E+00
-33.45000E-03,-3.42964E-03,+87.43718791E+00,+11.25628150E+00
-33.40000E-03,-2.42462E-03,+85.92965019E+00,+11.15577898E+00
-33.35000E-03,-4.43467E-03,+86.43216276E+00,+11.25628150E+00
-33.30000E-03,-3.93216E-03,+84.92462504E+00,+11.65829155E+00
-33.25000E-03,-7.44974E-03,+84.92462504E+00,+11.85929658E+00
-33.20000E-03,-3.93216E-03,+85.42713761E+00,+11.25628150E+00
-33.15000E-03,-7.44974E-03,+85.92965019E+00,+11.25628150E+00
-33.10000E-03,-8.45477E-03,+84.92462504E+00,+11.65829155E+00
-33.05000E-03,-10.46482E-03,+84.92462504E+00,+11.95979909E+00
-33.00000E-03,-8.95728E-03,+84.42211246E+00,+11.25628150E+00
-32.95000E-03,-6.44472E-03,+85.92965019E+00,+11.65829155E+00
-32.90000E-03,-9.96231E-03,+86.43216276E+00,+11.65829155E+00
-32.85000E-03,-8.45477E-03,+84.92462504E+00,+11.85929658E+00
-32.80000E-03,-7.95226E-03,+85.92965019E+00,+11.75879406E+00
-32.75000E-03,-8.95728E-03,+86.43216276E+00,+12.06030160E+00
-32.70000E-03,-9.96231E-03,+85.92965019E+00,+11.95979909E+00
